time,channel1,channel2,channel3,channel4,channel5
0,-0.00166312475957,-0.007785746191233,-0.008104571871508,0.011981950837209,0.016196426295808
0.004,-0.00167447189583,-0.007780529393418,-0.008097792438403,0.011963511740785,0.016213831648886
0.008,-0.001669495503445,-0.007781226569163,-0.008101085992784,0.011963896389472,0.016212918108255
0.012,-0.001667115489695,-0.007779615852787,-0.008129718279408,0.011967935200684,0.01619512810649
0.016,-0.001668245395213,-0.007776995433608,-0.00815118648424,0.011961203848665,0.016195681038978
0.02,-0.001676202814921,-0.007781154447534,-0.008117938413374,0.011963607902957,0.016220995730678
0.024,-0.001691372397507,-0.007775048149631,-0.008098730019577,0.011978945769343,0.016225875960892
0.028,-0.001706301574664,-0.007774519257687,-0.008091565937785,0.011984595296931,0.016210610216134
0.032,-0.001705412074575,-0.007773605717056,-0.008070338138382,0.011977335052967,0.016206475242751
0.036,-0.00169057905959,-0.007777476244467,-0.008059784340038,0.011974498268902,0.016227943447583
0.04,-0.001687021059237,-0.007780649596133,-0.00805906312375,0.011966492768108,0.016236814407923
0.044,-0.001685963275349,-0.007778630190527,-0.00806399143505,0.011971204714521,0.016223279582256
0.048,-0.001684304477887,-0.007777283920123,-0.008070602584354,0.011981157499292,0.016215634689605
0.052,-0.00167997718016,-0.00777610593352,-0.008075723219997,0.011986302175478,0.016222173717281
0.056,-0.001672572692939,-0.007777019474151,-0.008079136977093,0.011983393269785,0.016229914772103
0.06,-0.001672308246967,-0.007778918677042,-0.008086998234629,0.011969569957603,0.016218615716928
0.064,-0.00168276588314,-0.007779495650072,-0.008092719883846,0.011961155767579,0.016211115067536
0.068,-0.001690314613618,-0.007781563136764,-0.008094859492166,0.011963535781328,0.016215490446348
0.072,-0.001681491734365,-0.007781178488077,-0.008098080924918,0.011976758079937,0.016232751556168
0.076,-0.00167528927429,-0.007783534461284,-0.008099186789893,0.011976349390707,0.016218856122357
0.08,-0.001674760382346,-0.007785337502003,-0.008102768830788,0.011972623106554,0.016202628755883
0.084,-0.00165721078601,-0.007786828015665,-0.008094018073164,0.011976469593422,0.016209961121475
0.088,-0.001654446123574,-0.007781058285363,-0.008090820680955,0.011964160835444,0.016223616149857
0.092,-0.001683463058885,-0.007779519690615,-0.008109548263893,0.01195894403763,0.016212196891967
0.096,-0.001691829167823,-0.007780649596133,-0.008118875994548,0.011969377633259,0.016192868295455
0.1,-0.001685001653632,-0.007782476677395,-0.008090027343038,0.011963896389472,0.016201162282764
0.104,-0.001680770518077,-0.007785024974945,-0.00808757520766,0.01195795837537,0.016212894067712
0.108,-0.001688247126927,-0.007781539096221,-0.008088608951005,0.011958343024056,0.016217990662812
0.112,-0.001687093180866,-0.007780505352875,-0.008082430531474,0.011957405442882,0.016194647295632
0.116,-0.001687477829553,-0.00778514517766,-0.00807500200371,0.011956275537365,0.016197700444583
0.12,-0.001671659152308,-0.007782957488254,-0.008063462543106,0.011957838172655,0.016210586175591
0.124,-0.00166509608409,-0.007780577474504,-0.008064760732424,0.01195771796994,0.016207725350983
0.128,-0.001670336922447,-0.007779928379845,-0.008068318732776,0.011949568225889,0.016192243241339
0.132,-0.001675072909404,-0.007778894636499,-0.008073920179278,0.011941274238579,0.016187170686782
0.136,-0.00167668362578,-0.007780938082648,-0.008078848490578,0.011943077279299,0.016199743890732
0.14,-0.001686131559149,-0.007782909407168,-0.00808108426107,0.01195500138859,0.01620654736438
0.144,-0.001695411208718,-0.007782620920653,-0.008079209098722,0.011945914063364,0.016188204430128
0.148,-0.001697430614324,-0.007786828015665,-0.008079329301436,0.011926705669567,0.01617474172609
0.152,-0.001696108384463,-0.007784544164087,-0.008082719017989,0.011933340859414,0.016186473511037
0.156,-0.001693584127456,-0.007781635258393,-0.008103874695763,0.011961227889207,0.016194406890202
0.16,-0.001687189343038,-0.007780457271789,-0.008107408655573,0.011961612537894,0.016189214132931
0.164,-0.001676130693292,-0.007777043514694,-0.008093897870449,0.01194793346897,0.016180751861821
0.168,-0.001673654517371,-0.007774927946917,-0.008090892802583,0.011946034266079,0.016199094796073
0.172,-0.001681251328935,-0.00777314894674,-0.008098561735776,0.011967238024939,0.016204696242574
0.176,-0.001681419612736,-0.007778389785098,-0.008106422993313,0.011974161701301,0.016193036579256
0.18,-0.001674760382346,-0.007780505352875,-0.00809012350521,0.011976734039394,0.016187603416555
0.184,-0.001656441488637,-0.007778606149984,-0.008085002869567,0.011979065972058,0.016208302324013
0.188,-0.001653003690998,-0.007782548799024,-0.008092816046017,0.011970651782034,0.016226597177179
0.192,-0.001653797028915,-0.007780817879933,-0.008092070789187,0.011966877416795,0.016227029906952
0.196,-0.001672188044253,-0.007779399487901,-0.008084930747938,0.011965915795078,0.016218014703355
0.2,-0.001685554586119,-0.007779135041929,-0.008085651964226,0.011963655984043,0.016218086824984
0.204,-0.001676323017636,-0.007783774866713,-0.008074785638823,0.011963920430015,0.016226861623152
0.208,-0.001680169504504,-0.007783774866713,-0.008059255448094,0.011971252795607,0.016212389216311
0.212,-0.001687525910639,-0.007783510420741,-0.008062693245732,0.011974450187816,0.01619438284966
0.216,-0.001694401505916,-0.007779615852787,-0.008068559138206,0.011971589363208,0.016182867429598
0.22,-0.001692189775966,-0.007775865528091,-0.008072982598104,0.011968343889913,0.016197291755354
0.224,-0.001686227721321,-0.007778173420211,-0.008061803745644,0.011963367497528,0.016191954754824
0.228,-0.001682333153367,-0.007777884933696,-0.008067357111059,0.011959905659347,0.016176737091152
0.232,-0.001668678124985,-0.007776250176777,-0.008093897870449,0.011961203848665,0.016168178657871
0.236,-0.001659614840303,-0.007782789204453,-0.008099066587178,0.011968536214257,0.016189262214016
0.24,-0.001660191813333,-0.007793222800083,-0.008072790273761,0.011959881618804,0.016193252944142
0.244,-0.001670697530591,-0.007792309259452,-0.008074136544164,0.01195418401013,0.016177145780382
0.248,-0.001666274070693,-0.007792044813479,-0.008075050084796,0.011945673657935,0.016173275252971
0.252,-0.001661177475593,-0.007798487678983,-0.008077357976916,0.011942380103554,0.016193733755001
0.256,-0.001663028597398,-0.007796059584148,-0.008086108734541,0.011952429050497,0.016208831215958
0.26,-0.001673221787598,-0.007788775299642,-0.008073775936021,0.011969257430544,0.016206210796779
0.264,-0.001672476530768,-0.007793150678454,-0.008060289191439,0.011980556485719,0.016200392985391
0.268,-0.001644805865861,-0.007793270881169,-0.008057380285746,0.01198113345875,0.01620671564818
0.272,-0.001640863216821,-0.007791443799906,-0.008057356245203,0.011974137660758,0.016233352569741
0.276,-0.001677308679896,-0.007788582975298,-0.008060024745467,0.011975267566276,0.016222558365968
0.28,-0.001689665518959,-0.007789159948328,-0.008063198097133,0.011976253228536,0.016211692040566
0.284,-0.001685578626662,-0.007791347637735,-0.008065866597398,0.011970219052261,0.016212485378482
0.288,-0.001683294775084,-0.007790361975475,-0.008069015908521,0.011963607902957,0.016233785299514
0.292,-0.001696757479122,-0.007788967623985,-0.008082767099075,0.011949808631318,0.016219336933216
0.296,-0.001696685357493,-0.007791275516106,-0.00809365746502,0.011955386037277,0.016201955620681
0.3,-0.001685266099604,-0.007792237137823,-0.008087142477887,0.011983249026527,0.016193998200973
0.304,-0.001693031194969,-0.007792669867595,-0.008071395922271,0.011991086243521,0.016212966189341
0.308,-0.001686540248379,-0.007788751259099,-0.008056009974799,0.011981494066893,0.016205922310264
0.312,-0.00167766928804,-0.007786395285892,-0.008088921478063,0.011973753012072,0.016188324632842
0.316,-0.001666778922094,-0.007791708245878,-0.00810147064147,0.01196913722783,0.016188108267956
0.32,-0.001673774720086,-0.007792717948681,-0.008052932785304,0.011973272201213,0.016198638025757
0.324,-0.001669543584531,-0.007793847854199,-0.008029156688351,0.011968079443941,0.016203157647827
0.328,-0.001656393407551,-0.007796083624691,-0.008036561175572,0.01195812665917,0.016178876699473
0.332,-0.001647282041782,-0.007793318962254,-0.008061082529356,0.011955842807592,0.016173852226001
0.336,-0.001641368068222,-0.007793246840626,-0.008064904975681,0.011952020361267,0.016186713916466
0.34,-0.001661898691881,-0.007789352272672,-0.008047908311833,0.011946587198566,0.016199022674444
0.344,-0.001663004556855,-0.007785938515576,-0.008037811283804,0.011955506239991,0.016186209065065
0.348,-0.001659061907815,-0.007787140542723,-0.008039037351494,0.011984523175302,0.016185127240633
0.352,-0.001656369367008,-0.007788751259099,-0.008044542635823,0.011998106082055,0.01619570507952
0.356,-0.001658124326641,-0.007791708245878,-0.008047235176631,0.011987143594481,0.016210297689076
0.36,-0.001675120990489,-0.007787597313038,-0.008050504690469,0.01198286437784,0.016195584876806
0.364,-0.001680001220703,-0.007791011070134,-0.008054206934079,0.01198286437784,0.016195656998435
0.368,-0.001671827436109,-0.007791443799906,-0.008056851393801,0.011988682189228,0.016209167783559
0.372,-0.001673245828141,-0.007791107232305,-0.008059135245379,0.011982431648068,0.016229770528846
0.376,-0.00167783757184,-0.007788727218556,-0.008064544367537,0.011975892620392,0.016228808907129
0.38,-0.001664927800289,-0.007789640759187,-0.008075554936197,0.011974137660758,0.016217702176297
0.384,-0.001657258867096,-0.007790554299818,-0.008079834152838,0.011974498268902,0.01624147827325
0.388,-0.001672260165881,-0.007795410489489,-0.008078151314833,0.011975267566276,0.016267297816352
0.392,-0.00167471230126,-0.007791852489136,-0.008079954355552,0.011973921295872,0.016265927505405
0.396,-0.001652739245026,-0.007789640759187,-0.008098153046547,0.011964088713816,0.016257489274838
0.4,-0.001641440189851,-0.007790938948505,-0.008098465573605,0.011957453523968,0.016265086086403
0.404,-0.001650166906933,-0.007787308826523,-0.008069328435579,0.011967238024939,0.016268908532728
0.408,-0.001647137798524,-0.007781875663822,-0.008049759433638,0.011973536647185,0.016251983990508
0.412,-0.001653244096427,-0.007786106799377,-0.008059231407551,0.011972166336238,0.016224048879629
0.416,-0.001661033232335,-0.007789881164616,-0.008037210270231,0.011970146930633,0.016209864959303
0.42,-0.001653123893713,-0.007785698110147,-0.008025959296142,0.011959713335003,0.016211427594594
0.424,-0.001656249164293,-0.00778514517766,-0.008022016647102,0.011957693929397,0.016208662932157
0.428,-0.001654398042488,-0.007792405421623,-0.00803235408056,0.011961564456808,0.016182218334939
0.432,-0.001655768353435,-0.007787909840096,-0.008035479351141,0.011968199646656,0.016180102767162
0.436,-0.001652763285569,-0.007794448867772,-0.008043100203248,0.011969690160317,0.016184574308146
0.44,-0.001647642649926,-0.007789135907785,-0.008042018378816,0.011966420646479,0.01618082398345
0.444,-0.001653845110001,-0.007786659731864,-0.008038965229865,0.01197324816067,0.016170775036507
0.448,-0.001658941705101,-0.007792333299994,-0.008041104838185,0.011975532012248,0.016161158819337
0.452,-0.001653003690998,-0.007792910273025,-0.008044157987137,0.011968800660229,0.016168058455156
0.456,-0.001658052205013,-0.007788030042811,-0.008046153352199,0.01196618024105,0.016175775469435
0.46,-0.001682549518253,-0.007788582975298,-0.00804903821735,0.011967238024939,0.016158249913643
0.464,-0.001680506072105,-0.007786731853493,-0.00805964009678,0.011970026727918,0.016149691480361
0.468,-0.001667620341097,-0.00778358254237,-0.008074665436109,0.011970627741491,0.016166736225296
0.472,-0.001663918097486,-0.007785024974945,-0.008077309895831,0.011958799794372,0.016176929415496
0.476,-0.001664062340744,-0.007785914475033,-0.00806694842183,0.011949928834033,0.016166784306381
0.48,-0.001656345326465,-0.007786106799377,-0.008057981299319,0.01194949610426,0.016160125075991
0.484,-0.001661177475593,-0.007786178921006,-0.00805552916394,0.011959016159258,0.016167241076697
0.488,-0.00166740397621,-0.007785024974945,-0.008065121340567,0.011966492768108,0.016176713050609
0.492,-0.001649589933903,-0.007784183555943,-0.008061202732071,0.011966733173537,0.016152672507684
0.496,-0.001644132730659,-0.007786082758834,-0.008039013310951,0.011961324051379,0.016134281492346
0.5,-0.001644661622603,-0.007791491880992,-0.008028747999122,0.01195262137484,0.016135002708634
0.504,-0.001639565027503,-0.007785794272319,-0.008023290795877,0.011946995887796,0.016147936520728
0.508,-0.001653724907286,-0.007790746624161,-0.008030310634412,0.011967189943853,0.016139858898305
0.512,-0.001668894489872,-0.007795001800259,-0.008050624893184,0.01197423382293,0.016121443842424
0.516,-0.001666370232865,-0.007795602813832,-0.008080651531297,0.01195418401013,0.016121107274823
0.52,-0.001661586164823,-0.007794905638087,-0.008075603017283,0.011951299144979,0.016132117843483
0.524,-0.001663220921741,-0.007789881164616,-0.008036849662087,0.011977383134053,0.016128896410731
0.528,-0.001667476097839,-0.007794569070487,-0.00801821824132,0.011989571689316,0.016114808652577
0.532,-0.001650864082678,-0.00779829535464,-0.008012881240791,0.011985917526792,0.016115866436466
0.536,-0.00164718587961,-0.0077992810169,-0.008012568713733,0.011984643378017,0.01613110814068
0.54,-0.001650671758334,-0.007799737787215,-0.00802199260656,0.011976950404281,0.016124809518434
0.544,-0.001646248298436,-0.007801060017076,-0.008039542202895,0.01196815156557,0.016115169260721
0.548,-0.001646705068752,-0.007802286084766,-0.008033844594222,0.011971084511807,0.016111274692767
0.552,-0.001677765450211,-0.007794857557002,-0.008023170593163,0.011967887119598,0.016125146086035
0.556,-0.001695483330347,-0.007793294921711,-0.00802552656637,0.011963848308386,0.016129064694532
0.56,-0.001675481598633,-0.007793030475739,-0.008032618526532,0.011961612537894,0.016114880774206
0.564,-0.001659807164646,-0.007797381814009,-0.00803884502715,0.01194735649594,0.016108317705987
0.568,-0.001668966611501,-0.007792549664881,-0.008042931919447,0.011960554754006,0.016108798516846
0.572,-0.001667139530238,-0.007793126637911,-0.00805379824485,0.011961756781152,0.016115289463435
0.576,-0.001661898691881,-0.00779517008406,-0.008054639663852,0.01196108364595,0.016098533205017
0.58,-0.001659278272702,-0.007794737354287,-0.008055865731541,0.011973584728271,0.016091489325939
0.584,-0.001659134029444,-0.007796131705777,-0.008057668772261,0.011972863511983,0.016092042258427
0.588,-0.001652931569369,-0.007798535760069,-0.008056490785657,0.011958992118715,0.016094566515434
0.592,-0.001637209054296,-0.007797502016723,-0.00805988050221,0.011952981982984,0.016074420540462
0.596,-0.001637473500268,-0.007798247273554,-0.008046393757629,0.011953486834386,0.016058794187561
0.6,-0.001638218757099,-0.007799930111559,-0.008035791878199,0.011942812833327,0.016062905120401
0.604,-0.001653965312715,-0.007800459003503,-0.008031320337215,0.011924205453103,0.01607694479747
0.608,-0.001676948071752,-0.007802622652366,-0.008032233877846,0.011922258169126,0.016072280932142
0.612,-0.001671034098192,-0.007797694341067,-0.008027017080031,0.011948438320371,0.016058890349733
0.616,-0.001661922732423,-0.007798054949211,-0.008016222876257,0.011964761849017,0.01606413118809
0.62,-0.001648844677072,-0.007802863057796,-0.008029925985725,0.011980460323548,0.016092210542227
0.624,-0.001631607607795,-0.007801925476622,-0.008039878770496,0.011991759378723,0.016108990841189
0.628,-0.001640767054649,-0.007796444232835,-0.008029084566722,0.011979378499116,0.016099615029448
0.632,-0.001677741409668,-0.007796107665234,-0.008019251984666,0.011962141429839,0.016111587219825
0.636,-0.001681467693822,-0.007797165449122,-0.008018699052179,0.011948702766343,0.016136348979038
0.64,-0.001669856111589,-0.007794256543428,-0.008020694417242,0.011943125360385,0.016145556506978
0.644,-0.001653965312715,-0.007793847854199,-0.008028026782834,0.011956347658994,0.016135243114063
0.648,-0.001635406013577,-0.00779615574632,-0.008032834891419,0.011961107686493,0.016138344344101
0.652,-0.001638723608501,-0.007794809475916,-0.008031031850699,0.011960867281064,0.01615666323781
0.656,-0.001644709703689,-0.007794088259628,-0.008038027648691,0.011958174740256,0.016168899874159
0.66,-0.00162499645849,-0.007794208462343,-0.008064688610795,0.011960410510748,0.016150076129048
0.664,-0.001649133163587,-0.007794665232658,-0.008048004474005,0.011959953740432,0.016131228343395
0.668,-0.001681611937079,-0.007795554732746,-0.008022834025562,0.011965819632906,0.016121612126225
0.672,-0.00166074474582,-0.007798631922241,-0.008024468782481,0.011958318983513,0.016089950731192
0.676,-0.001642618176454,-0.007796011503062,-0.008013866903051,0.011957838172655,0.016050043429936
0.68,-0.001652498839597,-0.007794496948858,-0.008024877471711,0.011949616306975,0.016034200712149
0.684,-0.001660215853876,-0.007794376746143,-0.008054615623309,0.011938245130171,0.016042110050771
0.688,-0.001658725340214,-0.007798920408756,-0.008041297162529,0.011950193280005,0.016051822430113
0.692,-0.001646849312009,-0.007797093327494,-0.008016270957343,0.011959953740432,0.016043937132033
0.696,-0.001656249164293,-0.007795410489489,-0.008009467483695,0.011958559388943,0.01603609991504
0.7,-0.001654518245203,-0.007795795138176,-0.008009491524238,0.011968992984572,0.016050932930025
0.704,-0.001649950542047,-0.007794208462343,-0.008005140185969,0.011978032228712,0.016077569851586
0.708,-0.001661970813509,-0.007792237137823,-0.008006582618544,0.01197110855235,0.016079853703164
0.712,-0.001666153867978,-0.007796612516635,-0.008012761038076,0.011953414712757,0.016077954500273
0.716,-0.001671611071222,-0.007793583408227,-0.008018578849464,0.011951178942265,0.016091224879967
0.72,-0.00167060136842,-0.007798824246584,-0.008027906580119,0.011960122024233,0.016109880341277
0.724,-0.001658725340214,-0.007799377179072,-0.008054567542223,0.01195714099691,0.01611540966615
0.728,-0.001632112459196,-0.007790001367331,-0.008062452840303,0.011936610373252,0.016098821691532
0.732,-0.001622904931256,-0.007790097529502,-0.008034084999651,0.011941226157494,0.016097307137327
0.736,-0.001626871620838,-0.007792285218909,-0.008011246483872,0.011947981550056,0.016110072665621
0.74,-0.001629948810333,-0.007792309259452,-0.008015117011283,0.011953294510042,0.016113318138916
0.744,-0.001622640485284,-0.007795434530032,-0.008037811283804,0.011959593132289,0.016096658042668
0.748,-0.001612399213997,-0.007796612516635,-0.008038244013577,0.011952068442353,0.01608656101464
0.752,-0.001625501309892,-0.007796540395006,-0.008020742498327,0.011952140563982,0.016105072232692
0.756,-0.001639324622074,-0.007793439164969,-0.00800646241583,0.011957621807769,0.016111827625254
0.76,-0.001643098987313,-0.007794160381257,-0.008004467050767,0.011958895956544,0.016106154057124
0.764,-0.001655792393978,-0.00779492967863,-0.008011078200071,0.011971445119951,0.016115265422893
0.768,-0.001653123893713,-0.007796708678807,-0.008009251118809,0.011967622673626,0.016127333775441
0.772,-0.001637545621897,-0.007799761827758,-0.008021656038959,0.011943654252329,0.016134281492346
0.776,-0.001647378203954,-0.007795386448946,-0.008035527432226,0.011936442089451,0.016129401262133
0.78,-0.001660888989078,-0.007793631489312,-0.008027401728718,0.011951106820636,0.016130459046021
0.784,-0.001650431352905,-0.007791515921535,-0.008011246483872,0.011970844106378,0.01614565266915
