time,channel1,channel2,channel3,channel4,channel5
0,0.002528584304879,-0.013749483674703,-0.006205873831813,0.006985700963223,-0.002040585324039
0.004,0.002530435426684,-0.013747776796155,-0.006239242105394,0.006981710233098,-0.002014717699852
0.008,0.002536253238072,-0.013746767093353,-0.006231284685685,0.006988946436518,-0.002075564313996
0.012,0.002549187050166,-0.0137484739719,-0.006214167819123,0.006986638544397,-0.002046787784114
0.016,0.002555774158928,-0.013749603877418,-0.006234722483324,0.006981638111469,-0.00199498041411
0.02,0.002567890592562,-0.013750878026193,-0.006240011402767,0.006981830435812,-0.002012770415875
0.024,0.002558106091591,-0.013749435593617,-0.006192290925061,0.006980700530295,-0.00202284340336
0.028,0.002539835278968,-0.013750108728819,-0.006183756532322,0.006979786989663,-0.002009885550724
0.032,0.002531733616002,-0.013751238634337,-0.006191329303344,0.006974065340447,-0.001963246897449
0.036,0.002535195454184,-0.013750733782935,-0.006191040816829,0.006974401908048,-0.001947836909434
0.04,0.002526036007329,-0.013745805471636,-0.006185679775756,0.006971444921268,-0.001964929735454
0.044,0.00252382427738,-0.013750805904564,-0.006181640964545,0.006981229422239,-0.001939398678867
0.048,0.002518655560651,-0.013745709309464,-0.006185247045984,0.007019381763861,-0.00192545516397
0.052,0.002519905668883,-0.013746358404123,-0.006187771302991,0.007038013184628,-0.001928700637265
0.056,0.002526637020902,-0.013746045877065,-0.00618192945106,0.007034214778846,-0.001964617208395
0.06,0.002526492777645,-0.013746310323037,-0.006189382019367,0.007013323547044,-0.001975315249997
0.064,0.002543681765836,-0.013745420822949,-0.006207316264389,0.007000029126807,-0.001937355232718
0.068,0.002556423253587,-0.013739386646675,-0.006216163184185,0.006999596397034,-0.001908218094693
0.072,0.00255012463134,-0.013740300187306,-0.006224529293123,0.006997168302198,-0.001903746553709
0.076,0.002543946211808,-0.013745565066206,-0.00622416868498,0.006992408274699,-0.001888793336009
0.08,0.002541421954801,-0.013744915971547,-0.006222149279374,0.006990124423121,-0.001828691978696
0.084,0.00254683107696,-0.013748209525928,-0.00622671698253,0.006984595098249,-0.001781788879449
0.088,0.002554740415582,-0.01374929135036,-0.006222389684803,0.006985051868564,-0.001770658108074
0.092,0.002556158807615,-0.013750974188365,-0.006227125671759,0.00698921088249,-0.001816815950491
0.096,0.002560606308056,-0.01375200793171,-0.006205080493897,0.006982647814272,-0.001795491988916
0.1,0.00255899559168,-0.013754604310346,-0.006201907142231,0.00695370300059,-0.001768710824098
0.104,0.002549595739396,-0.013757248770068,-0.006205368980412,0.006942572229215,-0.00177662016272
0.108,0.002543705806379,-0.013756888161924,-0.006204888169553,0.006964569325992,-0.001782630298451
0.112,0.002541253671001,-0.013747993161042,-0.00619467093881,0.006977479097543,-0.001776187432947
0.116,0.00253877749508,-0.013746142039237,-0.006189502222081,0.006975315448679,-0.001756329944491
0.12,0.00252637257493,-0.013752488742569,-0.006187314532675,0.006968127326345,-0.001759286931271
0.124,0.002509928843569,-0.013746478606838,-0.006189141613937,0.006975099083793,-0.001782053325421
0.128,0.002523752155751,-0.013749195188188,-0.006191978398003,0.007014164966047,-0.001768398297039
0.132,0.002548009063563,-0.013754628350889,-0.006197243276903,0.007047437077455,-0.001715292737718
0.136,0.002555004861554,-0.01375224833714,-0.006201714817887,0.007032772346271,-0.001730462320303
0.14,0.002551134334143,-0.013756407351066,-0.006215369846269,0.007015126587764,-0.001758685917698
0.144,0.002563947943522,-0.013748762458415,-0.006201714817887,0.007003106316301,-0.001727072603751
0.148,0.002571039903685,-0.01374748830964,-0.006183371883635,0.006997456788714,-0.00167036096299
0.152,0.002566279876186,-0.013748570134072,-0.006210321332255,0.006996495166997,-0.001662692029797
0.156,0.002557216591503,-0.013747127701496,-0.006236044713185,0.006993105450444,-0.001681972545223
0.16,0.002548874523108,-0.013748522052986,-0.006227726685332,0.00699430747759,-0.001692117654338
0.164,0.002550773725999,-0.01374419475526,-0.00624102110557,0.006999139626718,-0.00163485308109
0.168,0.002544883792983,-0.013743449498429,-0.006222606049689,0.006999307910519,-0.001613336795172
0.172,0.00254387409018,-0.013748089323214,-0.006191233141172,0.006986061571367,-0.001643916365772
0.176,0.002562914200177,-0.013749579836875,-0.006185487451413,0.006983344990016,-0.001653652785657
0.18,0.002578732877421,-0.013741862822596,-0.006187795343534,0.006998875180746,-0.001619635417418
0.184,0.00256959747111,-0.013747752755613,-0.006182891072777,0.00700416410019,-0.001637016729953
0.188,0.002550725644913,-0.013752945512884,-0.006181640964545,0.006999380032148,-0.001613505078972
0.192,0.002545917536328,-0.013752681066912,-0.006187122208332,0.007005125721907,-0.001618457430815
0.196,0.002520843250057,-0.013752584904741,-0.006196353776815,0.006998466491516,-0.001579127102589
0.2,0.002515386046813,-0.013748522052986,-0.006195704682156,0.006997865477943,-0.001554052816318
0.204,0.00255505294264,-0.013746887296067,-0.006192146681803,0.00698312862513,-0.001572924642514
0.208,0.002567650187133,-0.013751118431622,-0.006195295992926,0.006979835070749,-0.001595498712321
0.212,0.002564885524696,-0.01375003660719,-0.006198301060792,0.007007553816742,-0.001540325666307
0.216,0.002560678429684,-0.013750733782935,-0.006190319600541,0.007034767711334,-0.001488494255761
0.22,0.002556062645443,-0.013750493377506,-0.00618743473539,0.007028469089087,-0.001491980134485
0.224,0.002552552726176,-0.013750757823478,-0.006199647331196,0.007006399870682,-0.001470680213453
0.228,0.002552144036946,-0.013751695404652,-0.006219144211508,0.007003322681187,-0.001475416200409
0.232,0.002555365469698,-0.013750084688276,-0.006251286417399,0.007005606532765,-0.001427984209218
0.236,0.002558154172677,-0.013752344499311,-0.006283765190891,0.00701140030361,-0.001431109479798
0.24,0.002558322456478,-0.013751046309993,-0.006171207368915,0.007016929628483,-0.001458443577104
0.244,0.002558731145708,-0.013752464702026,-0.006214095697494,0.007017819128571,-0.001452553644087
0.248,0.002561664091944,-0.013754772594147,-0.006228880631393,0.007036787116939,-0.00142036335711
0.252,0.00256779443039,-0.013749123066559,-0.006229770131481,0.007057053294625,-0.001407790153161
0.256,0.002570967782056,-0.013754267742745,-0.006234674402238,0.007086094270479,-0.00143375393952
0.26,0.002558779226793,-0.013757320891697,-0.006241574038057,0.007089604189746,-0.001457169428329
0.264,0.002538633251822,-0.013752921472341,-0.00621077810257,0.007063135551985,-0.001434571317979
0.268,0.002527430358819,-0.013744795768833,-0.006196425898444,0.007037075603454,-0.001396779584501
0.272,0.002546446428273,-0.013743040809199,-0.0062011618854,0.007014237087675,-0.001429739168851
0.276,0.002569501308938,-0.013740756957621,-0.006200152182597,0.007020800155894,-0.001465102807494
0.28,0.00257156879563,-0.013743593741686,-0.006206018075071,0.007035921657394,-0.00140622751787
0.284,0.002562866119091,-0.013745204458062,-0.006213085994691,0.007041210576838,-0.001367786689733
0.288,0.002558659024079,-0.013748041242128,-0.006197916412105,0.00702832484583,-0.001368604068192
0.292,0.002560365902626,-0.013745997795979,-0.006195151749669,0.007022675318242,-0.001367498203218
0.296,0.002553105658663,-0.013748834580044,-0.0062111867918,0.007014549614733,-0.001314104157381
0.3,0.002549643820482,-0.013745324660777,-0.006192290925061,0.007010174235921,-0.001293597574266
0.304,0.00255760124019,-0.01374650264738,-0.006175991436957,0.007011087776552,-0.001302540656234
0.308,0.002567602106047,-0.013746791133896,-0.006164500057439,0.00700728937077,-0.001302781061663
0.312,0.002566183714014,-0.013745324660777,-0.006171399693259,0.007007385532942,-0.00126150344946
0.316,0.002563034402891,-0.013745060214805,-0.006177914680391,0.007002865910872,-0.001253473908123
0.32,0.002560341862084,-0.013745060214805,-0.006180270653598,0.007003274600101,-0.001265398017414
0.324,0.002561616010859,-0.013745204458062,-0.006209816480853,0.007007073005884,-0.001268956017767
0.328,0.002566039470757,-0.013748522052986,-0.006202964926119,0.006995100815507,-0.001250637124058
0.332,0.00256409218678,-0.013748834580044,-0.006189862830225,0.006991855342212,-0.001228014973165
