channel6,channel7,channel8,channel9,channel10
-0.008250666250864616,-0.00835961799140191,-0.010800093706460043,0.012233390875664258,0.0188378328686356
-0.008249344021003725,-0.008362214370037837,-0.010797857935967992,0.012231131064629284,0.01883422678719681
-0.008265066536076848,-0.0083608440590911,-0.01079793005759677,0.012224543955867764,0.0188377367064639
-0.00828987637637572,-0.008365411762246897,-0.01080031007134637,0.012208797400251714,0.018839635909354998
-0.008296607728394793,-0.008365291559532272,-0.01079468458430186,0.012215745117157116,0.018836847206375663
-0.008286558781452033,-0.008366733992107788,-0.010790597692004564,0.012223101523292245,0.01881607617728824
-0.00828552503810625,-0.008370844924948008,-0.010797256922394862,0.012228606807622132,0.018807301379120515
-0.008286005848964752,-0.008368008140882826,-0.010799059963114256,0.012229664591510843,0.01880446459505533
-0.008282688254041066,-0.008367046519165816,-0.01079194396240838,0.012228053875134851,0.0188065320817469
-0.00827956298346078,-0.008368585113913033,-0.010790044759517285,0.012233342794578408,0.018793910796711145
-0.008276485793966348,-0.008368440870655481,-0.010790886178519669,0.012241396376458371,0.018779486470955984
-0.008275139523562533,-0.008364378018901112,-0.010790140921688984,0.012245242863326414,0.0187722743080784
-0.008281101578207998,-0.00836363276207043,-0.010800502395689773,0.012246348728300976,0.018760494442045025
-0.008286654943623734,-0.008366157019077579,-0.010811777410321721,0.0122417089035164,0.018746526886605448
-0.008289780214204021,-0.008368224505769153,-0.010809998410145252,0.012237670092304956,0.018727799303666668
-0.00829444407953152,-0.008366036816362955,-0.010804372923100741,0.01223389572706569,0.018720659262417862
-0.008292881444241378,-0.0083656040865903,-0.010798218544111872,0.01223805474099176,0.01870722059892264
-0.008287832930227073,-0.008369907343773922,-0.010798867638770854,0.012239112524880472,0.018700369044188942
-0.008277663780569686,-0.00837058047897583,-0.010803795950070534,0.01223745372741863,0.018690993232448088
-0.008266533009195288,-0.008369354411286641,-0.010800286030803446,0.01223983374116823,0.01868512733997433
-0.008269754441947275,-0.008371758465579167,-0.010787111813280402,0.012239136565423395,0.01869738801686621
-0.008269345752717545,-0.008368056221968677,-0.010780428542347176,0.01223759797067618,0.01869553689506096
-0.008260570954549823,-0.008366253181249282,-0.01078052470451888,0.012234064010866168,0.01868130489364921
-0.008258142859714372,-0.008369522695087117,-0.010782664312839228,0.012234256335209569,0.018674982230859862
-0.008273168199042662,-0.00837240756023815,-0.010784154826500594,0.01223805474099176,0.018673443636112647
-0.008293458417271584,-0.008371614222321615,-0.01078427502921522,0.012238799997822444,0.01866875573024222
-0.008299420471917049,-0.008369450573458342,-0.010784611596816174,0.012230578132142005,0.01865243220159597
-0.008287929092398774,-0.008370316033003651,-0.010785380894189782,0.012227140334503693,0.018639257984072927
-0.008280620767349494,-0.008367503289481396,-0.010787039691651623,0.012228246199478252,0.018626155888178654
-0.008283313308157122,-0.0083636087215275,-0.010788482124227141,0.012228943375223086,0.01862471345560314
-0.008280740970064121,-0.008364161654014783,-0.010790958300148442,0.012231203186258059,0.018607211940353544
-0.008275836699307365,-0.008364450140529887,-0.010795045192445738,0.012235097754211955,0.01858785930329871
-0.008272855671984634,-0.008365964694734178,-0.010796030854705674,0.012233318754035485,0.018591176898222397
-0.008271701725924221,-0.008366205100163431,-0.010791751638064976,0.012229328023909887,0.01858882092501572
-0.008271677685381295,-0.008367286924595069,-0.010787953232282784,0.012227356699390018,0.018579276829474387
-0.008271052631265239,-0.008364882870302542,-0.010787111813280402,0.01222577002355695,0.018569131720359927
-0.008270211212262854,-0.008366157019077579,-0.010785332813103931,0.01222577002355695,0.01856725655801176
-0.008269562117603872,-0.0083656040865903,-0.010783553812927464,0.012212090954632477,0.01857175213953878
-0.008269610198689723,-0.008365531964961525,-0.010786582921336043,0.012195719344900371,0.018575718829121447
-0.008268384131000533,-0.00836743116785262,-0.010790020718974358,0.01220749921093375,0.018569660612304282
