channel16,channel17,channel18,channel19,channel20
-0.02118310803370969,-0.011296338593523336,0.008444360905213466,0.0001831648965475833,0.0024297776734563915
-0.02118000680367233,-0.01129631455298041,0.00844371181055448,0.00018032811248240224,0.00242780634893652
-0.02117772295209443,-0.011295184647462923,0.008446813040591842,0.00017515939575347056,0.002427830389479445
-0.021179742357700152,-0.011297708904470077,0.008447197689278645,0.00017679415267238851,0.002429969997799793
-0.021180728019960092,-0.011295977985379456,0.008446260108104559,0.0001747747470666663,0.0024274697813355664
-0.02118017508747281,-0.011297612742298374,0.008447870824480553,0.00016729813821690938,0.002427181294820463
-0.021178973060326543,-0.011299463864103621,0.008442654026665771,0.0001666730841008525,0.00242734957862094
-0.021175967992460888,-0.011301627512966893,0.00843159537692015,0.00017186584137270945,0.0024282390787091746
-0.02117611223571844,-0.011302420850883428,0.008437365107222213,0.00017316403069067367,0.0024279505921940715
-0.021179189425212876,-0.011300449526363556,0.008441403918433656,0.00017237069277413998,0.0024249455243284136
-0.02118118479027567,-0.011301146702108387,0.008443591607839855,0.00016914926002215464,0.0024239839026114025
-0.021182050249820974,-0.011300665891249884,0.0084476304190513,0.0001675145031032367,0.002425089767585965
-0.021182699344479958,-0.01130270933739853,0.008451068216689613,0.000170639773683521,0.002427061092105837
-0.02118224257416438,-0.011302541053598054,0.008453953081840644,0.00017148119268590518,0.0024278544300223703
-0.021181906006563427,-0.011300401445277705,0.00846037190680169,0.00017294766580434632,0.002429128578797409
-0.021182531060679483,-0.011299439823560695,0.008442870391552098,0.00017602485529878004,0.002431556673632861
-0.0211835888445682,-0.011299704269532872,0.008427219998107752,0.00017640950398558426,0.002427878470565296
-0.021183709047282825,-0.011301242864280091,0.00845378479804017,0.00017717880135919268,0.0024261956325605273
-0.021181617520048324,-0.011303743080744316,0.008452727014151456,0.0001757123282407516,0.002427830389479445
-0.021179838519871853,-0.01130508935114813,0.008462223028606934,0.00017823658524790428,0.002431556673632861
-0.02117885285761192,-0.011303286310428736,0.008451765392434446,0.00017780385547524954,0.0024295853491129896
-0.02117832396566756,-0.011304824905175951,0.008437749755909017,0.00017520747683932107,0.002429080497711559
-0.02117536697888776,-0.011305449959292009,0.008444817675529044,0.00017640950398558426,0.002429729592370541
-0.0211724580731938,-0.011304271972688672,0.008446260108104559,0.00017484686869544212,0.002426147551474677
-0.02117361201925421,-0.0113021083238254,0.008446789000048915,0.00017145715214297993,0.0024254022946439933
-0.021176785370920347,-0.0113046806619184,0.008445803337788979,0.00017112058454202625,0.002427085132648762
-0.02117745850612225,-0.011307829973041613,0.008448976689455115,0.00017472666598081582,0.0024275178624214174
-0.02117786719535198,-0.011309224324531277,0.008447029405478168,0.00017426989566523578,0.0024272293759063143
-0.02117635264114769,-0.01130992150027611,0.008448784365111713,0.0001700387601103894,0.002427734227307744
-0.02117628051951892,-0.011311171608508223,0.008449962351715051,0.0001722264495165884,0.002427085132648762
-0.021178684573811443,-0.01130996958136196,0.008448664162397087,0.00017953477456586852,0.0024316047547187115
-0.021180992465932268,-0.011307493405440657,0.008443110796981351,0.00017845295013423166,0.0024337684035819853
-0.021182122371449758,-0.01130701259458215,0.008441163513004404,0.0001757123282407516,0.0024331433494659284
-0.021181256911904443,-0.011307998256842087,0.008433302255467843,0.0001740775713218337,0.0024319653628625906
-0.02117851629001096,-0.0113089598785591,0.008434119633927302,0.00017342847666285157,0.0024295132274842137
-0.021179718317157228,-0.011311051405793596,0.008438302688396298,0.00017648162561436005,0.0024300661599714946
-0.02118351672293942,-0.011313046770856393,0.008442798269923323,0.00017580849041245263,0.0024342251738975647
-0.02118476683117153,-0.011312061108596458,0.008444384945756389,0.00017511131466762002,0.002439850660942077
-0.02118342056076772,-0.0113092483650742,0.008447317891993272,0.00017840486904838112,0.0024384322689094858
-0.021184454304113504,-0.011308166540642563,0.008448784365111713,0.00018506409943867916,0.002437518728278326
-0.021187315128721608,-0.011311940905881829,0.008447774662308852,0.00018679501852929807,0.002435282957786277
-0.02118962302084244,-0.011311484135566251,0.008463016366523468,0.00017352463883455263,0.0024335520386956576
-0.02118988746681461,-0.011309128162359577,0.008446356270276262,0.00016619227324234722,0.0024338405252107608
-0.0211890220072693,-0.011309176243445426,0.008427869092766735,0.0001709523007415494,0.0024316047547187115
-0.021189671101928285,-0.01131321505465687,0.008441500080605359,0.00017455838218033892,0.002430522930287075
-0.02119128181830428,-0.01131357566280075,0.008440298053459095,0.00017621717964218218,0.002436052255159885
-0.021191666466991086,-0.011313479500629048,0.008434600444785808,0.0001740535307789084,0.0024375427688212515
-0.02119130585884721,-0.011311940905881829,0.008439889364229366,0.0001714331116000547,0.002438504390538262
-0.021189238372155632,-0.011311820703167205,0.00844575525670313,0.00017583253095537792,0.0024380476202226823
-0.02118774785849426,-0.01131184474371013,0.00844712556764987,0.00017508727412469474,0.0024370859985056717
