channel1,channel2,channel3,channel4,channel5
-0.005628419990748563,-0.009036022707147129,-0.012013083340297142,0.009279024515035691,0.014745363165382127
-0.005624573503880521,-0.009034676436743312,-0.012013972840385377,0.009273254784733629,0.01476043658579627
-0.0056225300577318746,-0.009029315395670978,-0.012014742137758985,0.009259263188751123,0.014758561423448098
-0.005621496314386087,-0.009026526692691649,-0.012011785150979178,0.009259094904950645,0.01476904310016351
-0.005607913407633313,-0.009030950152589895,-0.012005270163846431,0.00924171359241568,0.014770148965138076
-0.005601494582672268,-0.009032993598738544,-0.012002481460867102,0.009229356753352095,0.01477269726268815
-0.005606759461572901,-0.009021406057048566,-0.012004813393530852,0.00924293966010487,0.014785967642382897
-0.0056051487451969076,-0.008977267620237782,-0.012012506367266937,0.009259359350922824,0.014810032225851085
-0.00559031573021202,-0.008987821418581971,-0.01202070419240445,0.009251353850128713,0.014811546780055375
-0.005606951785916303,-0.009000586946875286,-0.012027267260623049,0.00922877978032189,0.01483248609294328
-0.0056359206401412456,-0.009011861961507238,-0.012032508098980757,0.00920964350815338,0.014844698688749313
-0.0056348868967954595,-0.009027608517123285,-0.012035873774990291,0.009199257993609666,0.014854988041121325
-0.005623539760534735,-0.009000346541446033,-0.012038638437426698,0.009208345318835416,0.014873403097002082
-0.0056172651788312395,-0.008891226517108263,-0.012041763708006982,0.009215749806056396,0.014869989339906691
-0.005609548164552231,-0.008967266754380872,-0.012044720694786787,0.009213850603165302,0.0148684747857024
-0.005591686041158761,-0.009074487575827548,-0.012042004113436236,0.009207479859290107,0.014874749367405897
-0.005585651864884519,-0.009079488008756005,-0.01203582569390444,0.009182261329761505,0.014870109542621319
-0.005605918042570515,-0.00907174695393407,-0.012033349517983141,0.009177789788777405,0.014851454081311312
-0.005616159313856678,-0.009060471939302121,-0.01203856631579792,0.009199065669266263,0.014838977039533104
-0.005629285450293872,-0.00904686499200642,-0.012048398897854352,0.009228851901950665,0.014830202241365381
-0.005627290085231076,-0.009016213299776707,-0.012042316640494264,0.00924846898497768,0.01482671636264122
-0.0056171930572024645,-0.008976955093179752,-0.0120273153417089,0.009260681580783714,0.014801257427683363
-0.005608057650890865,-0.008979888039416635,-0.012027291301165971,0.00923873256509295,0.014779813263394032
-0.00560401883967942,-0.009000683109046987,-0.0120296953554585,0.009208729967522221,0.014775005154808975
-0.005593681406221558,-0.009007414461066062,-0.012023613098098409,0.00921243221113271,0.014775630208925031
-0.0056071200697167785,-0.00902443516545715,-0.012018396300283623,0.00923039049669788,0.014771254830112638
-0.005612240705359861,-0.009032056017564459,-0.012021257124891731,0.009246329376657331,0.014765965910669076
-0.005601951352987847,-0.009034291788056507,-0.012029382828400471,0.009262676945846513,0.01476870653256256
-0.00559615758214286,-0.009028473976668594,-0.012033349517983141,0.009250175863525374,0.014772985749203254
-0.005610605948440943,-0.009023233138310887,-0.01203120990966279,0.009227145023402971,0.01476940370830739
-0.005612577272960814,-0.009018136543210731,-0.012031594558349595,0.009222457117532546,0.014765268734924245
-0.005603826515336019,-0.009014626623943645,-0.012034431342414777,0.009215966170942724,0.014767191978358268
-0.00559483535228197,-0.009002678474109784,-0.01203618630204832,0.009216879711573884,0.014753585031062569
-0.005607937448176239,-0.008946736130722697,-0.012037075802136556,0.009204787318482477,0.014729520447594378
-0.005610678070069718,-0.008875744407464393,-0.012037436410280437,0.009198560817864831,0.01472084181159836
-0.005601638825929818,-0.008919618398303002,-0.01203618630204832,0.009208152994492014,0.01471007164836784
-0.005591085027585629,-0.008959958429331592,-0.012032964869296336,0.00921567768442762,0.01471478359478119
-0.0055908686626993005,-0.0089880377834683,-0.012031546477263743,0.00921781729274797,0.014718678162735085
